name,score,year,event
Madeline SCHIZAS,185.78,2021,WC
Eva-Lotta KIIBUS,181.47,2021,WC
Josefin TALJEGARD,178.10,2021,WC
Alexandra FEIGIN,173.52,2021,WC
Nicole SCHOTT,172.80,2021,WC
Eliska BREZINOVA,155.14,2021,WC
Jenni SAARINEN,146.54,2021,WC
Kailani CRAINE,56.86,2021,WC
Ekaterina KURAKOVA,52.28,2021,WC
Kaori SAKAMOTO,223.34,2021,NHK
Mana KAWABE,205.44,2021,NHK
Alysa LIU,202.90,2021,NHK
Nicole SCHOTT,172.37,2021,NHK
Alexandra TRUSOVA,232.37,2021,SA
Kaori SAKAMOTO,215.93,2021,SA
Ekaterina KURAKOVA,188.60,2021,SA
Alysa LIU,206.53,2021,SC
Wakaba HIGUCHI,205.27,2021,SC
Madeline SCHIZAS,186.56,2021,SC
Mana KAWABE,186.52,2021,SC
Karen CHEN,183.41,2021,SC
Anna SHCHERBAKOVA,229.69,2021,F
Wakaba HIGUCHI,204.91,2021,F
Karen CHEN,194.00,2021,F
Mariah BELL,190.79,2021,F
Ekaterina RYABOVA,186.65,2021,F
Mariah BELL,210.35,2021,SC
Loena HENDRICKX,203.69,2021,SC
Madeline SCHIZAS,192.14,2021,SC
Viktoriia SAFONOVA,185.64,2021,SC
Ekaterina KURAKOVA,175.64,2021,SC
Ekaterina RYABOVA,175.24,2021,SC
Eva-Lotta KIIBUS,163.11,2021,SC
Olga MIKUTINA,161.09,2021,SC
Anna SHCHERBAKOVA,236.78,2021,I
Loena HENDRICKX,219.05,2021,I
Yi ZHU,171.25,2021,I
Nicole SCHOTT,167.20,2021,I
